id,name,city,country,iata,icao,latitude,longitude,altitude,offset,dst,timezone
5647,Arorae Island Airport,Arorae,Kiribati,AIS,NGTR,-2.616110086,176.8029938,0,12,U,Pacific/Tarawa
5648,Tamana Island Airport,Tamana,Kiribati,TMN,NGTM,-2.485830069,175.9700012,0,12,U,Pacific/Tarawa
5649,Beru Airport,Beru Island,Kiribati,BEZ,NGBR,-1.354719996,176.0070038,6,12,U,Pacific/Tarawa
5650,Nikunau Airport,Nikunau,Kiribati,NIG,NGNU,-1.314440012,176.4100037,6,12,U,Pacific/Tarawa
5651,Butaritari Atoll Airport,Butaritari,Kiribati,BBG,NGTU,3.08583,172.811005,5,12,U,Pacific/Tarawa
5652,Makin Island Airport,Makin,Kiribati,MTK,NGMN,3.374439955,172.9920044,0,12,U,Pacific/Tarawa
5653,Maiana Airport,Maiana,Kiribati,MNK,NGMA,1.003610015,173.0310059,8,12,U,Pacific/Tarawa
5654,Nonouti Airport,Nonouti,Kiribati,NON,NGTO,-0.63972199,174.4279938,10,12,U,Pacific/Tarawa
5655,Tabiteuea South Airport,Tabiteuea,Kiribati,TSU,NGTS,-1.474439979,175.0639954,0,12,U,Pacific/Tarawa
5656,Whitianga Airport,Whitianga,New Zealand,WTZ,NZWT,-36.83169937,175.6790009,10,12,U,Pacific/Auckland
5657,Takaka Airport,Takaka,New Zealand,KTF,NZTK,-40.81330109,172.7749939,102,12,U,Pacific/Auckland
5658,Afutara Aerodrome,Afutara,Solomon Islands,AFT,AGAF,-9.191388889,160.9486111,23,11,U,Pacific/Guadalcanal
5659,Ulawa Airport,Ulawa,Solomon Islands,RNA,AGAR,-9.860543583,161.9795465,40,11,U,Pacific/Guadalcanal
5660,Choiseul Bay Airport,Choiseul Bay,Solomon Islands,CHY,AGGC,-6.711944,156.396111,0,11,U,Pacific/Guadalcanal
5661,Santa Ana Airport,Santa Ana,Solomon Islands,NNB,AGGT,-10.847994,162.454108,3,11,U,Pacific/Guadalcanal
5662,Yandina Airport,Yandina,Solomon Islands,XYA,AGGY,-9.092816,159.21841,60,11,U,Pacific/Guadalcanal
5663,Bartow Municipal Airport,Bartow,United States,BOW,KBOW,27.94339943,-81.78340149,125,-5,U,America/New_York
5664,Dyagilevo Air Base,Kostroma,Russia,\N,UUBD,54.6446991,39.57040024,440,3,N,Europe/Moscow
5665,Fitiuta Airport,Fiti\\'uta,American Samoa,FTI,NSFQ,-14.2172,-169.425003,110,-11,U,Pacific/Pago_Pago
5666,Livermore Municipal Airport,Livermore,United States,LVK,KLVK,37.69340134,-121.8199997,400,-8,A,America/Los_Angeles
5667,Mariposa Yosemite Airport,Mariposa,United States,RMY,KMPI,37.51089859,-120.0400009,2254,-8,A,America/Los_Angeles
5668,Grootfontein Airport,Grootfontein,Namibia,GFY,FYGF,-19.60219955,18.12269974,4636,1,S,Africa/Windhoek
5669,Rundu Airport,Rundu,Namibia,NDU,FYRU,-17.9564991,19.71940041,3627,1,S,Africa/Windhoek
5670,Tasiilaq Heliport,Angmagssalik,Greenland,AGM,BGAM,65.61229608,-37.61833549,24,-3,U,America/Godthab
5671,Jacqueline Cochran Regional Airport,Palm Springs,United States,TRM,KTRM,33.62670135,-116.1600037,-115,-8,A,America/Los_Angeles
5672,Santa Monica Municipal Airport,Santa Monica,United States,SMO,KSMO,34.01580048,-118.4509964,177,-8,A,America/Los_Angeles
5673,Bermuda Dunes Airport,Palm Springs,United States,UDD,KUDD,33.74840164,-116.2750015,73,-8,A,America/Los_Angeles
5674,Scottsdale Airport,Scottsdale,United States,ZSY,KSDL,33.6228981,-111.9110031,1510,-7,A,America/Phoenix
5675,Olympia Regional Airport,Olympia,United States,OLM,KOLM,46.9693985,-122.9029999,209,-8,A,America/Los_Angeles
5676,Yolo County Davis Woodland Winters Airport,Davis-Woodland-Winters,United States,DWA,KDWA,38.57910156,-121.8570023,100,-8,A,America/Los_Angeles
5677,Garfield County Regional Airport,Rifle,United States,RIL,KRIL,39.52629852,-107.7269974,5548,-7,A,America/Denver
5678,Shively Field,SARATOGA,United States,SAA,KSAA,41.44490051,-106.8239975,7012,-7,A,America/Denver
5679,DeKalb Peachtree Airport,Atlanta,United States,PDK,KPDK,33.87559891,-84.30200195,1003,-5,A,America/New_York
5680,Monroe County Airport,Bloomington,United States,BMG,KBMG,39.14599991,-86.61669922,846,-5,A,America/New_York
